DATE,Mkt-RF,SMB,HML
1990-04-01,0.948779,1.015119,0.983616
1990-07-01,1.03635,0.985614,0.918707
1990-10-01,0.827485,0.894995,1.02239
1991-01-01,1.068741,0.954217,0.953059
1991-04-01,1.15191,1.121406,0.964297
1991-07-01,0.982538,1.006614,1.021427
1991-10-01,1.049625,1.020334,0.969707
1992-01-01,1.075657,0.976403,0.936737
1992-04-01,0.978204,1.097384,1.152906
1992-07-01,0.990011,0.919171,1.091206
1992-10-01,1.025057,0.994574,0.982979
1993-01-01,1.068016,1.077788,0.991592
1993-04-01,1.033753,0.985873,1.14186
1993-07-01,1.000611,1.011348,1.016754
1993-10-01,1.032334,1.040316,1.026963
1994-01-01,1.01135,1.020146,0.968785
1994-04-01,0.95455,1.015103,1.011442
1994-07-01,0.981956,0.959452,1.04091
1994-10-01,1.044727,1.022408,0.962421
1995-01-01,0.980822,0.978564,0.974661
1995-04-01,1.078057,0.958946,1.014591
1995-07-01,1.079291,1.004711,1.013787
1995-10-01,1.077842,1.018403,1.011839
1996-01-01,1.034343,0.954709,1.004777
1996-04-01,1.043765,1.008436,0.993645
1996-07-01,1.032777,1.041223,0.973031
1996-10-01,1.01476,0.973098,1.0146
1997-01-01,1.05342,0.954093,1.078676
1997-04-01,0.992214,0.950615,1.077622
1997-07-01,1.156054,0.999042,0.975616
1997-10-01,1.083797,1.072958,1.016161
1998-01-01,1.003744,0.923774,1.077739
1998-04-01,1.123033,0.98176,0.990856
1998-07-01,1.007425,0.93393,1.024722
1998-10-01,0.868897,0.891326,0.983079
1999-01-01,1.206667,0.957287,0.907224
1999-04-01,1.027023,0.902551,0.944696
1999-07-01,1.066176,1.109425,1.011935
1999-10-01,0.925227,1.032002,0.944632
2000-01-01,1.181648,1.03681,0.83321
2000-04-01,1.026688,1.048997,0.963196
2000-07-01,0.93614,0.998414,1.035198
2000-10-01,0.986568,0.980593,1.14582
2001-01-01,0.87849,0.995182,1.280793
2001-04-01,0.860307,1.110264,1.135285
2001-07-01,1.066081,1.096972,0.972385
2001-10-01,0.830794,0.940929,1.094972
2002-01-01,1.119485,1.104718,0.951836
2002-04-01,1.003862,1.050808,1.068059
2002-07-01,0.86751,1.072931,1.056344
2002-10-01,0.827282,0.952089,1.008812
2003-01-01,1.076855,0.990722,0.966356
2003-04-01,0.966403,1.003518,0.957183
2003-07-01,1.16397,1.07546,1.013949
2003-10-01,1.034462,1.079056,1.005629
2004-01-01,1.121243,1.022316,1.053939
2004-04-01,1.022128,1.036176,1.035791
2004-07-01,1.011659,1.000353,0.978377
2004-10-01,0.97553,0.988683,1.041985
2005-01-01,1.096719,1.042256,1.009538
2005-04-01,0.97126,0.97164,1.058914
2005-07-01,1.015201,1.018047,1.021925
2005-10-01,1.031552,1.01539,1.012825
2006-01-01,1.012633,0.991401,0.995231
2006-04-01,1.042308,1.089369,1.014124
2006-07-01,0.96794,0.960027,1.058429
2006-10-01,1.030969,0.954674,1.005969
2007-01-01,1.059087,1.019335,1.024835
2007-04-01,1.000886,1.016639,0.983183
2007-07-01,1.04749,0.990791,0.969207
2007-10-01,1.002841,0.944002,0.92517
2008-01-01,0.960402,0.972059,0.95552
2008-04-01,0.899026,0.996659,1.029016
2008-07-01,0.975531,1.032506,0.949003
2008-10-01,0.914391,1.074534,1.13279
2009-01-01,0.775913,0.960612,0.915976
2009-04-01,0.899928,0.975819,0.854412
2009-07-01,1.164188,1.066875,1.029555
2009-10-01,1.158484,1.050801,1.137386
2010-01-01,1.056537,0.983871,0.956248
2010-04-01,1.062311,1.036579,1.05715
2010-07-01,0.887191,1.024994,0.959101
2010-10-01,1.11544,1.005432,0.945896
2011-01-01,1.116304,1.054397,1.001301
2011-04-01,1.06035,1.017981,1.003233
2011-07-01,0.998153,0.989916,0.951684
2011-10-01,0.848331,0.920544,0.94931
2012-01-01,1.118599,1.028088,1.013235
2012-04-01,1.131047,0.998824,1.007605
2012-07-01,0.966308,1.004151,0.987676
2012-10-01,1.061819,0.983735,1.026461
2013-01-01,1.001745,1.013783,1.063771
2013-04-01,1.112412,1.010396,1.008787
2013-07-01,1.031407,1.0102,1.03061
2013-10-01,1.06662,1.044766,0.967594
2014-01-01,1.104599,0.992412,1.014528
2014-04-01,1.016107,0.995629,1.02411
2014-07-01,1.045248,0.969447,1.00322
2014-10-01,1.001019,0.924169,0.982254
2015-01-01,1.050712,1.043349,0.973079
2015-04-01,1.016872,1.023888,0.943062
2015-07-01,1.003981,1.005102,1.000137
2015-10-01,0.92478,0.931977,0.987888
2016-01-01,1.060021,0.980729,0.968293
2016-04-01,1.007078,0.985802,1.025338
2016-07-01,1.02665,1.009538,1.002047
2016-10-01,1.047309,1.061702,1.008046
2017-01-01,1.046117,1.028626,1.165777
2017-04-01,1.057587,0.972714,0.922718
2017-07-01,1.029584,0.9975,0.956647
2017-10-01,1.04594,1.011859,1.005181
2018-01-01,1.065579,0.967198,1.001999
2018-04-01,0.993358,1.006663,0.975661
2018-07-01,1.034418,1.066866,0.950858
2018-10-01,1.068038,0.962204,0.950526
2019-01-01,0.849146,0.918938,1.018497
2019-04-01,1.13329,1.011603,0.927848
2019-07-01,1.034496,0.976787,0.989064
2019-10-01,0.99989,0.951003,1.019371
2020-01-01,1.089462,1.016678,0.979442
2020-04-01,0.794903,0.875624,0.77484
2020-07-01,1.229435,1.068065,0.914299
2020-10-01,1.097078,0.961257,0.933085
2021-01-01,1.152061,1.170538,1.047804
2021-04-01,1.059138,1.106168,1.182815
2021-07-01,,,
