DATE,Mkt-RF,SMB,HML
2007-01-01,1.059087,1.019335,1.024835
2007-04-01,1.000886,1.016639,0.983183
2007-07-01,1.04749,0.990791,0.969207
2007-10-01,1.002841,0.944002,0.92517
2008-01-01,0.960402,0.972059,0.95552
2008-04-01,0.899026,0.996659,1.029016
2008-07-01,0.975531,1.032506,0.949003
2008-10-01,0.914391,1.074534,1.13279
2009-01-01,0.775913,0.960612,0.915976
2009-04-01,0.899928,0.975819,0.854412
2009-07-01,1.164188,1.066875,1.029555
2009-10-01,1.158484,1.050801,1.137386
2010-01-01,1.056537,0.983871,0.956248
2010-04-01,1.062311,1.036579,1.05715
2010-07-01,0.887191,1.024994,0.959101
2010-10-01,1.11544,1.005432,0.945896
2011-01-01,1.116304,1.054397,1.001301
2011-04-01,1.06035,1.017981,1.003233
2011-07-01,0.998153,0.989916,0.951684
2011-10-01,0.848331,0.920544,0.94931
2012-01-01,1.118599,1.028088,1.013235
2012-04-01,1.131047,0.998824,1.007605
2012-07-01,0.966308,1.004151,0.987676
2012-10-01,1.061819,0.983735,1.026461
2013-01-01,1.001745,1.013783,1.063771
2013-04-01,1.112412,1.010396,1.008787
2013-07-01,1.031407,1.0102,1.03061
2013-10-01,1.06662,1.044766,0.967594
2014-01-01,1.104599,0.992412,1.014528
2014-04-01,1.016107,0.995629,1.02411
2014-07-01,1.045248,0.969447,1.00322
2014-10-01,1.001019,0.924169,0.982254
2015-01-01,1.050712,1.043349,0.973079
2015-04-01,1.016872,1.023888,0.943062
2015-07-01,1.003981,1.005102,1.000137
2015-10-01,0.92478,0.931977,0.987888
2016-01-01,1.060021,0.980729,0.968293
2016-04-01,1.007078,0.985802,1.025338
2016-07-01,1.02665,1.009538,1.002047
2016-10-01,1.047309,1.061702,1.008046
2017-01-01,1.046117,1.028626,1.165777
2017-04-01,1.057587,0.972714,0.922718
2017-07-01,1.029584,0.9975,0.956647
2017-10-01,1.04594,1.011859,1.005181
2018-01-01,1.065579,0.967198,1.001999
2018-04-01,0.993358,1.006663,0.975661
2018-07-01,1.034418,1.066866,0.950858
2018-10-01,1.068038,0.962204,0.950526
2019-01-01,0.849146,0.918938,1.018497
2019-04-01,1.13329,1.011603,0.927848
2019-07-01,1.034496,0.976787,0.989064
2019-10-01,0.99989,0.951003,1.019371
2020-01-01,1.089462,1.016678,0.979442
2020-04-01,0.794903,0.875624,0.77484
2020-07-01,1.229435,1.068065,0.914299
2020-10-01,1.097078,0.961257,0.933085
2021-01-01,1.152061,1.170538,1.047804
2021-04-01,1.059138,1.106168,1.182815
