DATE,XSP.TO_R,XIU.TO_R,XIN.TO_R,XBB.TO_R,XGB.TO_R,XRB.TO_R,XRE.TO_R
2006-04-01,,,,,,,
2006-05-01,-0.033332956,-0.032004687,-0.055876541,0.003859343,,-0.009773582,0.001455637
2006-06-01,0.006896306,-0.010369583,0.011836567,-0.016777904,,-0.017142673,-0.005087014
2006-07-01,0.001245503,0.023036122,0.002420259,0.033026545,,0.044349456,0.059085162
2006-08-01,0.021144379,0.022209137,0.028168989,0.018099592,,0.019467202,0.029411702
2006-09-01,0.026796581,-0.01458146,0.014090355,-0.002051258,,-0.00854273,0.040135536
2006-10-01,0.029655836,0.048887554,0.027016458,0.014519901,,-0.00050704,0.031306667
2006-11-01,0.014401263,0.043503062,-0.002254827,0.010576235,,0.008620901,0.032754757
2006-12-01,0.015331734,0.011678434,0.027495231,-0.019918587,,-0.03921561,-0.00932827
2007-01-01,0.012957776,0.01240858,0.041719456,0.008515994,0.001712751,0.008403061,0.064423552
2007-02-01,-0.008864052,-0.00239688,-0.011827993,0.01484352,0.013465564,0.012092799,0.048386576
2007-03-01,-0.000559012,0.007741269,0.0181355,-0.014286177,-0.013286652,0.003116903,-0.054130982
2007-04-01,0.043065001,0.021492233,0.024224979,0.01038065,0.00745635,0.009839728,0.03472666
2007-05-01,0.031635507,0.053522495,0.040347855,-0.016213089,-0.012500484,-0.029231233,0.000587885
2007-06-01,-0.020270559,-0.009023607,-0.008692514,-0.016128931,-0.014177161,-0.030639108,-0.053498038
2007-07-01,-0.029177687,0.007546347,-0.038448638,0.014820081,0.01254787,0.018526317,-0.034878683
2007-08-01,0.011475331,-0.008829721,-0.00350736,0.009949995,0.010774713,-0.005420418,0.020196272
2007-09-01,0.032955235,0.026850457,0.016895174,-0.004926466,-0.003045202,0.016893646,0.019157121
2007-10-01,0.014644417,0.045350493,0.029075952,0.017006042,0.01685863,0.003751831,-0.033252004
2007-11-01,-0.046391614,-0.053670225,-0.045408558,0.011959444,0.017713106,-0.003737808,-0.031433589
2007-12-01,-0.017837775,0.005956939,-0.038759776,-0.002085536,-0.003480778,0.017149384,-0.035835655
2008-01-01,-0.050061425,-0.040450097,-0.085962307,0.016032236,0.015823843,0.002308078,-0.037990079
2008-02-01,-0.03053434,0.033592028,-0.02868833,0.012136225,0.009926163,0.023404201,-0.002241859
2008-03-01,-0.004239816,-0.018750118,-0.022363022,-0.002398548,0.006386969,0.040540674,-0.006742064
