DATE,SPY_R,QQQ_R,VWO_R,EWC_R,EFA_R,VGK_R,IOO_R,SHY_R,IEF_R,TIP_R,IYR_R
2006-04-01,,,,,,,,,,,
2006-05-01,-0.030120909,-0.07240149,-0.112919106,-0.022525818,-0.03821829,-0.029334725,-0.029170196,0.001704154,-0.001520511,0.003130659,-0.033051905
2006-06-01,-0.00180365,-0.00128773,-0.000932551,-0.022633921,-0.000611454,0.010129981,-0.000603772,0.002295861,0.00227884,0.003669714,0.036363578
2006-07-01,0.008918091,-0.042431187,0.018513049,0.001262974,0.008105177,0.010362723,0.020697841,0.006519123,0.016539912,0.015080502,0.046101735
2006-08-01,0.021822527,0.047709893,0.014815666,0.040790918,0.025485399,0.032423589,0.029454906,0.007392351,0.017596873,0.016621378,0.029790652
2006-09-01,0.022504255,0.045793396,0.010535993,-0.030303627,0.002218908,0.011216255,0.011071393,0.004377861,0.012215866,0.001070201,0.014463652
2006-10-01,0.036053207,0.048081561,0.05078943,0.047500324,0.037490908,0.036919795,0.03114347,0.004140006,0.005368037,0.000391364,0.074619493
2006-11-01,0.019885502,0.034288265,0.07328118,0.025059519,0.030729628,0.037591525,0.021376056,0.004798572,0.01321825,0.009620322,0.046257127
2006-12-01,0.007756388,-0.01998188,0.022054999,-0.017462037,0.010628193,0.003829115,0.000810326,-0.002279999,-0.015514637,-0.017542407,-0.030250141
2007-01-01,0.020695793,0.022327916,0.018462773,0.012083901,0.035344069,0.042898703,0.027931951,0.008302429,0.002495225,0.002328496,0.111012746
2007-02-01,-0.019617313,-0.016791139,-0.023240354,0.005919458,-0.001212014,-0.012422369,-0.024191352,0.00349658,0.016685681,0.019791607,-0.035776676
2007-03-01,0.007592184,0.004615489,0.042564082,0.025892387,0.028995384,0.037296672,0.014107342,0.004883287,-0.000888022,0.000495035,-0.032792183
2007-04-01,0.048437796,0.056488948,0.038037312,0.061185781,0.037483374,0.057529652,0.054970242,0.002758882,0.005478552,0.005737537,0.010730843
2007-05-01,0.033920376,0.031549281,0.066568754,0.084684515,0.023623033,0.021333618,0.028805717,-0.000562379,-0.013831592,-0.01326985,0.00152051
2007-06-01,-0.018849735,0.004007462,0.045464973,-0.007973508,-0.003208531,-0.003524746,-0.000995452,0.004695933,-0.004927064,-0.002826605,-0.095772217
2007-07-01,-0.027135179,-0.000689532,0.035163089,0,-0.022904627,-0.028429455,-0.022421264,0.008881878,0.022733719,0.023080595,-0.081957492
2007-08-01,0.012832667,0.028192543,-0.000106369,0.001339628,-0.006335599,0.002697087,0.008791788,0.010508328,0.022591662,0.008221871,0.052556833
2007-09-01,0.03380996,0.05197417,0.098317724,0.094648692,0.053175273,0.051640325,0.049766465,0.005494185,0.000811616,0.012871877,0.031983741
2007-10-01,0.018374885,0.070971274,0.130082841,0.102352433,0.042499193,0.047442786,0.029960193,0.004898326,0.011046541,0.011947428,0.016606187
2007-11-01,-0.038732485,-0.067599375,-0.085266133,-0.115576085,-0.036236979,-0.037602269,-0.029439077,0.017856236,0.040664413,0.042177021,-0.09123959
2007-12-01,-0.016480344,-0.001754192,-0.027777815,0.006580679,-0.053988756,-0.050868818,-0.025397403,-3.25026E-05,-0.003003451,-0.005338722,-0.061696383
2008-01-01,-0.055474748,-0.11798045,-0.073075199,-0.045669532,-0.054921198,-0.060909305,-0.07125514,0.023438647,0.040856317,0.045190294,0.01259689
2008-02-01,-0.025842346,-0.0483049,0.028770299,0.057133264,-0.010229275,-0.002936806,-0.020827457,0.007659973,0.009229293,0.009034444,-0.041964462
2008-03-01,-0.013824837,0.017927903,-0.036775263,-0.05310832,0.004189959,0.013107411,0.00690602,0.003248249,0.013413377,-0.000944952,0.033169388
2008-04-01,0.052849107,0.080669544,0.084334913,0.070933858,0.054380962,0.040994095,0.052263132,-0.00852627,-0.024474308,-0.020817493,0.069869721
2008-05-01,0.015116244,0.059309948,0.017850045,0.078557887,0.011871603,0.00670293,-0.006518074,-0.003316571,-0.017526732,0.008569531,0.008130111
2008-06-01,-0.088136619,-0.096780756,-0.098092083,-0.052841857,-0.104810062,-0.089887491,-0.095131793,0.001705068,0.011078283,0.01422521,-0.124423857
2008-07-01,-0.0040291,0.007122066,-0.047222171,-0.051280334,-0.014905029,-0.028806609,0.008776232,0.004390646,0.007405543,-0.005099393,0.035072157
2008-08-01,0.015454063,0.014518497,-0.079165792,-0.030940868,-0.042475854,-0.038449299,-0.015195872,0.004098236,0.015141507,0.005746186,0.018138287
2008-09-01,-0.099386709,-0.156331204,-0.155869569,-0.132982265,-0.114362219,-0.128937575,-0.07833817,0.008160794,-0.001263544,-0.039144955,-0.023332975
2008-10-01,-0.160354469,-0.154146618,-0.272648638,-0.271829613,-0.208348327,-0.218287391,-0.152446918,0.010514778,-0.008755417,-0.081112819,-0.304357408
2008-11-01,-0.069606774,-0.114624374,-0.086473582,-0.107925327,-0.063719661,-0.073825483,-0.069895465,0.010511975,0.077308577,0.016798797,-0.215510969
2008-12-01,0.00166496,0.021291324,0.023447309,0.018702501,0.075005514,-0.007246216,0.023891961,0.00224119,0.048008171,0.065035429,0.115338273
2009-01-01,-0.074662811,-0.021446165,-0.041850338,-0.022315914,-0.126339319,-0.069776964,-0.114834938,0.002891371,-0.032088485,-0.000403074,-0.13666376
2009-02-01,-0.10744927,-0.052650005,-0.02375388,-0.096407305,-0.103876086,-0.103782245,-0.108188528,-0.003084761,-0.010137266,-0.021976089,-0.197830123
2009-03-01,0.075612153,0.101344394,0.124045816,0.090788329,0.083909993,0.076975,0.083611528,0.005096643,0.033305905,0.059059721,0.012728558
2009-04-01,0.107214267,0.132476178,0.17444802,0.138517713,0.115190313,0.131661529,0.090413597,-0.001788612,-0.027658754,-0.022481389,0.325360026
2009-05-01,0.058454003,0.032088847,0.178894454,0.232657784,0.131917872,0.142659313,0.102887058,0.000245195,-0.020902736,0.018337409,0.022727367
2009-06-01,-0.006268284,0.028264521,-0.02452494,-0.072727368,-0.034562347,-0.023515111,-0.029521711,-0.00051596,-0.005556272,0.004561637,-0.039407579
2009-07-01,0.080675534,0.085720574,0.10905098,0.134752461,0.123796028,0.113455729,0.118233917,0.001324923,0.008514597,0.000695115,0.122541736
2009-08-01,0.036939718,0.014702027,-0.007084584,-0.017355311,0.045030445,0.054849543,0.04005149,0.004090496,0.007516392,0.008002564,0.131938977
2009-09-01,0.030548884,0.055458509,0.099600804,0.071488205,0.037965275,0.048192567,0.038688214,0.002414537,0.011335018,0.015304055,0.051502863
2009-10-01,-0.014553738,-0.029594087,-0.024137099,-0.063971207,-0.0252379,-0.025811481,-0.011500444,0.001407374,-0.001312668,0.020207561,-0.041178075
