DATE,ca_inf_rate,ca_gdp_rate,ca_int,us_fed,us_une,us_gdp_rate,us_inf_rate,FX USDCAD
1990-04-01,0.00919,-0.011242,12.634211,8.243333,5.333333,0.003627,0.009071,1.182573
1990-07-01,0.006938,0.006737,13.53,8.16,5.7,0.000664,0.012711,1.170626
1990-10-01,0.008613,0.00097,12.9365,7.743333,6.133333,-0.009096,0.013227,1.15336
1991-01-01,0.009394,-0.015602,12.081951,6.426667,6.6,-0.004686,0.005259,1.161153
1991-04-01,0.030034,0.017401,10.26275,5.863333,6.833333,0.007793,0.005457,1.155889
1991-07-01,0.003285,-0.002438,9.032955,5.643333,6.866667,0.00506,0.006792,1.14901
1991-10-01,0.005321,0.006427,8.593684,4.816667,7.1,0.003477,0.007259,1.143575
1992-01-01,0.004072,0.000696,7.672778,4.023333,7.366667,0.011974,0.006264,1.134981
1992-04-01,0.004461,0.001245,7.207632,3.77,7.6,0.010846,0.006656,1.176837
1992-07-01,0.005652,0.003677,6.361026,3.256667,7.633333,0.009884,0.006373,1.194283
1992-10-01,0.004416,0.00735,5.282432,3.036667,7.366667,0.010436,0.006976,1.200924
1993-01-01,0.007594,0.000887,7.2025,3.04,7.133333,0.001665,0.005955,1.261455
1993-04-01,0.006743,0.003841,5.979524,3,7.066667,0.005833,0.00672,1.261383
1993-07-01,0.002758,0.001214,4.941351,3.06,6.8,0.004764,0.004339,1.269967
1993-10-01,0.00668,0.001555,4.44122,2.99,6.633333,0.0136,0.005763,1.303298
1994-01-01,0.006635,0.007307,4.220294,3.213333,6.566667,0.009708,0.00358,1.324804
1994-04-01,0.005428,0.00473,3.908684,3.94,6.2,0.013558,0.005586,1.340454
1994-07-01,0.001157,0.00339,6.085,4.486667,6,0.005835,0.007176,1.381926
1994-10-01,0.003082,0.006838,5.612571,5.166667,5.633333,0.011454,0.004698,1.371907
1995-01-01,0.006144,-0.000587,5.80027,5.81,5.466667,0.003556,0.004888,1.367933
1995-04-01,0.00916,0.004672,7.899375,6.02,5.666667,0.002983,0.005818,1.406879
1995-07-01,0.003782,0.005587,7.432222,5.796667,5.666667,0.008506,0.004087,1.371592
1995-10-01,0.005652,-0.00228,6.53,5.72,5.566667,0.006794,0.004395,1.355552
1996-01-01,0.003372,0.010106,6.070328,5.363333,5.533333,0.007479,0.00556,1.355651
1996-04-01,0.002987,0.001368,5.215625,5.243333,5.5,0.016683,0.006694,1.369213
1996-07-01,0.00484,-0.001083,4.769365,5.306667,5.266667,0.008969,0.004263,1.36449
1996-10-01,0.005187,0.012751,4.203651,5.28,5.333333,0.010381,0.006812,1.370368
1997-01-01,0.006266,0.014781,3.033226,5.276667,5.233333,0.006458,0.004414,1.350622
1997-04-01,0.004396,0.004334,2.921129,5.523333,5,0.016617,0.002507,1.358897
1997-07-01,0.00547,0.010219,3.025313,5.533333,4.866667,0.012513,0.002639,1.385814
1997-10-01,0.002176,0.00504,3.080635,5.506667,4.666667,0.008586,0.003137,1.384117
1998-01-01,0.002172,0.007373,3.638065,5.52,4.633333,0.010002,0.000076,1.408432
