REF_DATE,CADGDP
1961-01,275324
1961-04,279760
1961-07,287455
1961-10,288096
1962-01,293885
1962-04,297350
1962-07,295891
1962-10,301486
1963-01,304227
1963-04,308586
1963-07,311410
1963-10,315987
1964-01,324135
1964-04,323682
1964-07,328153
1964-10,332224
1965-01,335589
1965-04,342319
1965-07,347543
1965-10,354815
1966-01,358139
1966-04,361633
1966-07,368928
1966-10,371593
1967-01,374182
1967-04,383289
1967-07,383647
1967-10,389989
1968-01,393701
1968-04,397114
1968-07,405232
1968-10,411033
1969-01,417398
1969-04,418639
1969-07,421622
1969-10,427334
1970-01,428605
1970-04,434976
1970-07,438347
1970-10,444007
1971-01,439612
1971-04,454743
1971-07,464591
1971-10,472992
1972-01,472110
1972-04,482340
1972-07,488282
1972-10,498372
1973-01,507396
1973-04,511585
1973-07,515226
1973-10,527428
1974-01,536776
1974-04,543082
1974-07,546777
1974-10,544241
1975-01,553942
1975-04,564132
1975-07,573233
1975-10,579933
1976-01,578768
1976-04,591270
1976-07,591946
1976-10,602453
1977-01,603748
1977-04,606324
1977-07,611419
1977-10,616737
1978-01,619367
1978-04,623597
1978-07,626291
1978-10,627638
1979-01,633580
1979-04,636598
1979-07,636316
1979-10,638857
1980-01,643105
1980-04,643611
1980-07,653853
1980-10,656142
1981-01,658323
1981-04,657303
1981-07,656993
1981-10,658411
1982-01,649659
1982-04,647902
1982-07,647861
1982-10,646843
1983-01,649730
1983-04,658714
1983-07,666215
1983-10,671440
1984-01,675861
1984-04,680933
1984-07,683788
1984-10,694784
1985-01,704209
1985-04,710527
1985-07,718450
1985-10,728899
1986-01,728446
1986-04,732977
1986-07,742339
1986-10,741533
1987-01,748217
1987-04,758466
1987-07,761500
1987-10,770681
1988-01,776933
1988-04,786820
1988-07,791323
1988-10,798824
1989-01,803854
1989-04,814573
1989-07,815611
1989-10,819105
1990-01,832886
1990-04,823523
1990-07,829071
1990-10,829875
1991-01,816927
1991-04,831142
1991-07,829116
1991-10,834445
1992-01,835026
1992-04,836066
1992-07,839140
1992-10,845308
1993-01,846058
1993-04,849308
1993-07,850339
1993-10,851661
1994-01,857884
1994-04,861942
1994-07,864864
1994-10,870778
1995-01,870267
1995-04,874333
1995-07,879218
1995-10,877213
1996-01,886078
1996-04,887290
1996-07,886329
1996-10,897631
1997-01,910899
1997-04,914847
1997-07,924196
1997-10,928854
1998-01,935702
1998-04,941611
1998-07,946486
1998-10,947892
1999-01,960876
1999-04,969659
1999-07,982490
1999-10,989857
2000-01,1000622
2000-04,1009895
2000-07,1020682
2000-10,1023987
2001-01,1033309
2001-04,1038070
2001-07,1040941
2001-10,1050801
2002-01,1064473
2002-04,1075690
2002-07,1080134
2002-10,1090179
2003-01,1096923
2003-04,1104771
2003-07,1112644
2003-10,1115942
2004-01,1128298
2004-04,1131448
2004-07,1141823
2004-10,1150460
2005-01,1160909
2005-04,1169485
2005-07,1177147
2005-10,1188951
2006-01,1202502
2006-04,1213737
2006-07,1224237
2006-10,1235372
2007-01,1243787
2007-04,1259029
2007-07,1272261
2007-10,1289759
2008-01,1300854
2008-04,1310237
2008-07,1311008
2008-10,1304807
2009-01,1301677
2009-04,1311681
2009-07,1322695
2009-10,1331647
2010-01,1345683
2010-04,1353657
2010-07,1362887
2010-10,1374952
2011-01,1377445
2011-04,1383447
2011-07,1389429
2011-10,1396291
2012-01,1402483
2012-04,1402851
2012-07,1411453
2012-10,1416718
2013-01,1419536
2013-04,1427288
2013-07,1436512
2013-10,1445150
2014-01,1449264
2014-04,1457471
2014-07,1465610
2014-10,1472490
2015-01,1479639
2015-04,1485881
2015-07,1496399
2015-10,1503684
2016-01,1508398
2016-04,1517920
2016-07,1525435
2016-10,1534207
2017-01,1550415
2017-04,1565408
2017-07,1578875
2017-10,1589953
2018-01,1600339
2018-04,1610118
2018-07,1617106
2018-10,1623063
2019-01,1631073
2019-04,1635598
2019-07,1644088
2019-10,1652065
2020-01,1626636
2020-04,1443282
2020-07,1596836
2020-10,1606821
2021-01,1620397
