DATE,ca_inf_rate,ca_gdp_rate,ca_int,us_fed,us_une,us_gdp_rate,us_inf_rate,FX USDCAD,Mkt-RF,SMB,HML,RMW,CMA
1990-04,0.009190,-0.011242,12.634211,8.243333,5.333333,0.003627,0.009071,1.182573,0.948779,1.015119,0.983616,1.008233,0.996346
1990-07,0.006938,0.006737,13.530000,8.160000,5.700000,0.000664,0.012711,1.170626,1.036350,0.985614,0.918707,1.022926,0.971438
1990-10,0.008613,0.000970,12.936500,7.743333,6.133333,-0.009096,0.013227,1.153360,0.827485,0.894995,1.022390,0.991622,1.101221
1991-01,0.009394,-0.015602,12.081951,6.426667,6.600000,-0.004686,0.005259,1.161153,1.068741,0.954217,0.953059,1.066281,0.928876
1991-04,0.030034,0.017401,10.262750,5.863333,6.833333,0.007793,0.005457,1.155889,1.151910,1.121406,0.964297,1.009313,0.948184
1991-07,0.003285,-0.002438,9.032955,5.643333,6.866667,0.005060,0.006792,1.149010,0.982538,1.006614,1.021427,1.044270,0.988615
1991-10,0.005321,0.006427,8.593684,4.816667,7.100000,0.003477,0.007259,1.143575,1.049625,1.020334,0.969707,1.006290,0.982046
1992-01,0.004072,0.000696,7.672778,4.023333,7.366667,0.011974,0.006264,1.134981,1.075657,0.976403,0.936737,1.028571,0.967150
1992-04,0.004461,0.001245,7.207632,3.770000,7.600000,0.010846,0.006656,1.176837,0.978204,1.097384,1.152906,0.986798,1.072857
1992-07,0.005652,0.003677,6.361026,3.256667,7.633333,0.009884,0.006373,1.194283,0.990011,0.919171,1.091206,1.006431,1.037580
1992-10,0.004416,0.007350,5.282432,3.036667,7.366667,0.010436,0.006976,1.200924,1.025057,0.994574,0.982979,1.068967,0.971833
1993-01,0.007594,0.000887,7.202500,3.040000,7.133333,0.001665,0.005955,1.261455,1.068016,1.077788,0.991592,1.001079,0.980351
1993-04,0.006743,0.003841,5.979524,3.000000,7.066667,0.005833,0.006720,1.261383,1.033753,0.985873,1.141860,0.975534,1.079265
1993-07,0.002758,0.001214,4.941351,3.060000,6.800000,0.004764,0.004339,1.269967,1.000611,1.011348,1.016754,0.954847,1.014156
1993-10,0.006680,0.001555,4.441220,2.990000,6.633333,0.013600,0.005763,1.303298,1.032334,1.040316,1.026963,0.968504,1.019076
1994-01,0.006635,0.007307,4.220294,3.213333,6.566667,0.009708,0.003580,1.324804,1.011350,1.020146,0.968785,1.039742,0.993055
1994-04,0.005428,0.004730,3.908684,3.940000,6.200000,0.013558,0.005586,1.340454,0.954550,1.015103,1.011442,1.011282,1.016802
1994-07,0.001157,0.003390,6.085000,4.486667,6.000000,0.005835,0.007176,1.381926,0.981956,0.959452,1.040910,1.029478,1.033858
1994-10,0.003082,0.006838,5.612571,5.166667,5.633333,0.011454,0.004698,1.371907,1.044727,1.022408,0.962421,1.007757,0.995759
1995-01,0.006144,-0.000587,5.800270,5.810000,5.466667,0.003556,0.004888,1.367933,0.980822,0.978564,0.974661,1.011743,0.992495
1995-04,0.009160,0.004672,7.899375,6.020000,5.666667,0.002983,0.005818,1.406879,1.078057,0.958946,1.014591,1.006099,0.990009
1995-07,0.003782,0.005587,7.432222,5.796667,5.666667,0.008506,0.004087,1.371592,1.079291,1.004711,1.013787,1.002789,0.986243
1995-10,0.005652,-0.002280,6.530000,5.720000,5.566667,0.006794,0.004395,1.355552,1.077842,1.018403,1.011839,1.001573,1.002616
1996-01,0.003372,0.010106,6.070328,5.363333,5.533333,0.007479,0.005560,1.355651,1.034343,0.954709,1.004777,0.999226,1.041843
1996-04,0.002987,0.001368,5.215625,5.243333,5.500000,0.016683,0.006694,1.369213,1.043765,1.008436,0.993645,1.018357,0.994550
1996-07,0.004840,-0.001083,4.769365,5.306667,5.266667,0.008969,0.004263,1.364490,1.032777,1.041223,0.973031,1.033501,0.986485
1996-10,0.005187,0.012751,4.203651,5.280000,5.333333,0.010381,0.006812,1.370368,1.014760,0.973098,1.014600,1.037993,0.979250
1997-01,0.006266,0.014781,3.033226,5.276667,5.233333,0.006458,0.004414,1.350622,1.053420,0.954093,1.078676,1.040259,1.037720
1997-04,0.004396,0.004334,2.921129,5.523333,5.000000,0.016617,0.002507,1.358897,0.992214,0.950615,1.077622,1.023770,1.048323
1997-07,0.005470,0.010219,3.025313,5.533333,4.866667,0.012513,0.002639,1.385814,1.156054,0.999042,0.975616,1.029194,0.967454
1997-10,0.002176,0.005040,3.080635,5.506667,4.666667,0.008586,0.003137,1.384117,1.083797,1.072958,1.016161,0.975037,0.965145
1998-01,0.002172,0.007373,3.638065,5.520000,4.633333,0.010002,0.000076,1.408432,1.003744,0.923774,1.077739,1.047202,1.055494
1998-04,0.005778,0.006315,4.421270,5.500000,4.400000,0.009258,0.001806,1.429926,1.123033,0.981760,0.990856,1.002556,0.963057
1998-07,0.002873,0.005177,4.708571,5.533333,4.533333,0.012525,0.003094,1.446025,1.007425,0.933930,1.024722,0.991146,0.993066
1998-10,0.002864,0.001485,5.021270,4.860000,4.433333,0.016153,0.002633,1.513029,0.868897,0.891326,0.983079,1.035628,1.032225
1999-01,0.002142,0.013698,4.703548,4.733333,4.300000,0.009460,0.002618,1.541765,1.206667,0.957287,0.907224,0.990238,0.958354
1999-04,0.001425,0.009141,4.761111,4.746667,4.266667,0.007700,0.005468,1.512076,1.027023,0.902551,0.944696,0.923838,0.955921
1999-07,0.007115,0.013232,4.498889,5.093333,4.233333,0.013088,0.005307,1.473099,1.066176,1.109425,1.011935,0.995760,1.007852
1999-10,0.005298,0.007498,4.688571,5.306667,4.066667,0.017000,0.005902,1.486138,0.925227,1.032002,0.944632,0.994772,1.023229
2000-01,0.000703,0.010875,4.764516,5.676667,4.033333,0.003625,0.008340,1.472097,1.181648,1.036810,0.833210,0.870932,0.920484
2000-04,0.000351,0.009267,5.051250,6.273333,3.933333,0.018305,0.004487,1.453340,1.026688,1.048997,0.963196,0.854005,1.031018
2000-07,0.005967,0.010681,5.528730,6.520000,4.000000,0.001330,0.006186,1.479813,0.936140,0.998414,1.035198,1.033095,1.027933
2000-10,0.005234,0.003238,5.599194,6.473333,3.900000,0.006231,0.005528,1.481668,0.986568,0.980593,1.145820,1.057616,1.102809
2001-01,0.003471,0.009104,5.605738,5.593333,4.233333,-0.002850,0.006769,1.525954,0.878490,0.995182,1.280793,1.269990,1.200286
2001-04,0.002767,0.004608,4.974531,4.326667,4.400000,0.005847,0.004688,1.527457,0.860307,1.110264,1.135285,1.066751,1.064177
2001-07,0.010693,0.002766,4.364921,3.496667,4.833333,-0.004156,0.000593,1.541978,1.066081,1.096972,0.972385,0.980212,0.963871
2001-10,0.006143,0.009472,3.828226,2.133333,5.500000,0.002731,0.000614,1.544015,0.830794,0.940929,1.094972,1.171121,1.133040
2002-01,-0.001018,0.013011,2.334355,1.733333,5.700000,0.008739,0.001873,1.580599,1.119485,1.104718,0.951836,0.934794,0.935051
2002-04,0.005433,0.010538,2.016290,1.750000,5.833333,0.006065,0.007617,1.594327,1.003862,1.050808,1.068059,1.110959,1.087649
2002-07,0.011145,0.004131,2.504375,1.740000,5.733333,0.004438,0.004894,1.554090,0.867510,1.072931,1.056344,1.107609,1.106707
2002-10,0.008350,0.009300,2.807460,1.443333,5.866667,0.001550,0.004619,1.562037,0.827282,0.952089,1.008812,1.083665,0.954448
2003-01,0.002981,0.006186,2.717581,1.250000,5.866667,0.005551,0.007054,1.569444,1.076855,0.990722,0.966356,0.934587,1.043595
2003-04,0.007926,0.007155,2.856032,1.246667,6.133333,0.008604,0.000260,1.509733,0.966403,1.003518,0.957183,1.018103,0.995240
2003-07,0.001638,0.007126,3.154921,1.016667,6.133333,0.016979,0.006174,1.399657,1.163970,1.075460,1.013949,0.890901,1.039094
2003-10,0.003925,0.002964,2.775645,0.996667,5.833333,0.011479,0.004589,1.381511,1.034462,1.079056,1.005629,0.945880,1.044339
2004-01,0.005213,0.011072,2.649516,1.003333,5.700000,0.005341,0.008303,1.316840,1.121243,1.022316,1.053939,0.992520,1.042474
2004-04,0.001945,0.002792,2.203750,1.010000,5.600000,0.007618,0.006855,1.318821,1.022128,1.036176,1.035791,1.000837,1.009535
2004-07,0.006147,0.009170,1.981587,1.433333,5.433333,0.009456,0.005046,1.358922,1.011659,1.000353,0.978377,1.034551,0.967240
2004-10,0.003215,0.007564,2.152857,1.950000,5.433333,0.010017,0.008540,1.309204,0.975530,0.988683,1.041985,1.048651,0.951211
2005-01,0.004487,0.009082,2.537097,2.470000,5.300000,0.011069,0.005701,1.221252,1.096719,1.042256,1.009538,0.978832,1.006799
2005-04,0.003510,0.007387,2.463548,2.943333,5.100000,0.004616,0.006007,1.226811,0.971260,0.971640,1.058914,1.048239,0.996847
2005-07,0.004769,0.006552,2.458281,3.460000,4.966667,0.008909,0.010679,1.244692,1.015201,1.018047,1.021925,1.008180,0.988607
2005-10,0.002848,0.010028,2.671270,3.980000,4.966667,0.006321,0.007807,1.202707,1.031552,1.015390,1.012825,0.970442,0.988888
2006-01,0.005049,0.011397,3.173934,4.456667,4.733333,0.013296,0.005066,1.174284,1.012633,0.991401,0.995231,0.985439,0.977994
2006-04,0.004082,0.009343,3.616094,4.906667,4.633333,0.002343,0.008035,1.155419,1.042308,1.089369,1.014124,0.987938,1.009513
2006-07,0.005629,0.008651,4.102222,5.246667,4.633333,0.001546,0.007212,1.122963,0.967940,0.960027,1.058429,1.042886,1.009962
2006-10,0.000933,0.009095,4.155323,5.246667,4.433333,0.008519,-0.001687,1.120879,1.030969,0.954674,1.005969,1.007587,1.036464
2007-01,0.005281,0.006812,4.167049,5.256667,4.500000,0.002350,0.009454,1.138753,1.059087,1.019335,1.024835,0.994892,1.014150
2007-04,0.005562,0.012255,4.169375,5.250000,4.500000,0.005728,0.008112,1.171782,1.000886,1.016639,0.983183,1.006381,0.989112
2007-07,0.006761,0.010510,4.231905,5.073333,4.666667,0.005439,0.005632,1.098279,1.047490,0.990791,0.969207,1.032215,0.997768
2007-10,0.003663,0.013753,4.245000,4.496667,4.800000,0.006077,0.009823,1.045723,1.002841,0.944002,0.925170,0.983236,0.952864
