REF_DATE,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada"
1949-01,12.8
1949-02,12.7
1949-03,12.6
1949-04,12.6
1949-05,12.5
1949-06,12.5
1949-07,12.5
1949-08,12.7
1949-09,12.8
1949-10,12.9
1949-11,12.8
1949-12,12.8
1950-01,12.7
1950-02,12.7
1950-03,12.8
1950-04,12.8
1950-05,12.8
1950-06,12.8
1950-07,12.9
1950-08,13.1
1950-09,13.3
1950-10,13.6
1950-11,13.7
1950-12,13.6
1951-01,13.8
1951-02,13.9
1951-03,14.2
1951-04,14.3
1951-05,14.3
1951-06,14.5
1951-07,14.6
1951-08,14.8
1951-09,15
1951-10,15.1
1951-11,15.1
1951-12,15
1952-01,15
1952-02,14.9
1952-03,14.8
1952-04,14.7
1952-05,14.5
1952-06,14.5
1952-07,14.4
1952-08,14.6
1952-09,14.8
1952-10,14.8
1952-11,14.8
1952-12,14.7
1953-01,14.7
1953-02,14.7
1953-03,14.7
1953-04,14.7
1953-05,14.6
1953-06,14.7
1953-07,14.6
1953-08,14.8
1953-09,15
1953-10,15.1
1953-11,15
1953-12,14.9
1954-01,14.9
1954-02,14.9
1954-03,14.8
1954-04,14.8
1954-05,14.8
1954-06,14.8
1954-07,14.8
1954-08,14.8
1954-09,15
1954-10,15
1954-11,15
1954-12,14.9
1955-01,14.9
1955-02,14.8
1955-03,14.8
1955-04,14.8
1955-05,14.7
1955-06,14.7
1955-07,14.7
1955-08,14.9
1955-09,15
1955-10,15.1
1955-11,15.1
1955-12,15
1956-01,15
1956-02,14.9
1956-03,14.9
1956-04,14.8
1956-05,14.9
1956-06,14.9
1956-07,14.8
1956-08,15.1
1956-09,15.3
1956-10,15.4
1956-11,15.5
1956-12,15.4
1957-01,15.4
1957-02,15.4
1957-03,15.4
1957-04,15.5
1957-05,15.4
1957-06,15.5
1957-07,15.5
1957-08,15.7
1957-09,15.9
1957-10,15.9
1957-11,15.9
1957-12,15.8
1958-01,15.8
1958-02,15.8
1958-03,15.8
1958-04,15.8
1958-05,15.8
1958-06,15.9
1958-07,15.9
1958-08,16
1958-09,16.2
1958-10,16.3
1958-11,16.3
1958-12,16.3
1959-01,16.3
1959-02,16.2
1959-03,16.2
1959-04,16.2
1959-05,16.1
1959-06,16.1
1959-07,16
1959-08,16.2
1959-09,16.4
1959-10,16.5
1959-11,16.5
1959-12,16.4
1960-01,16.3
1960-02,16.2
1960-03,16.2
1960-04,16.2
1960-05,16.2
1960-06,16.1
1960-07,16.1
1960-08,16.3
1960-09,16.6
1960-10,16.7
1960-11,16.7
1960-12,16.6
1961-01,16.6
1961-02,16.6
1961-03,16.6
1961-04,16.5
1961-05,16.5
1961-06,16.4
1961-07,16.4
1961-08,16.5
1961-09,16.6
1961-10,16.6
1961-11,16.6
1961-12,16.6
1962-01,16.6
1962-02,16.5
1962-03,16.5
1962-04,16.6
1962-05,16.5
1962-06,16.5
1962-07,16.6
1962-08,16.7
1962-09,16.7
1962-10,16.9
1962-11,16.9
1962-12,16.9
1963-01,16.8
1963-02,16.8
1963-03,16.8
1963-04,16.8
1963-05,16.8
1963-06,16.7
1963-07,16.9
1963-08,17.1
